country_iso3,country_name,region,income_group,lending_type,deep_pillar_affordability,deep_pillar_skills,deep_pillar_affordability_n,deep_pillar_skills_n,deep_n_pillars_available,dii_deep_z,dii_deep_0_100,dii_core_0_100,ref_year_median,ref_year_p10,ref_year_p90,staleness_median
BGR,Bulgaria,Europe & Central Asia,High income,IBRD,0.4768911389859618,-0.18357464109961888,4,14,2,0.14665824894317148,58.52931222514998,83.48827326236056,2024.0,2023.0,2025.0,1.0
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,Not classified,-0.15122171063737624,1.3857374738100408,4,5,2,0.6172578815863322,83.12808663246058,75.69247477662438,2023.0,2023.0,2025.0,2.0
BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified,-0.9751912110669148,,4,0,1,,,74.12950606833586,2025.0,2025.0,2025.0,0.0
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD,0.41528560089682365,-0.4344521880974303,4,11,2,-0.009583293600303328,50.362390299413086,67.97688404294932,2024.0,2024.0,2025.0,1.0
BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD,0.730166587120351,0.1718866351027904,4,15,2,0.4510266111115707,74.43899034294031,82.87588995237708,2024.0,2024.0,2025.0,1.0
BLZ,Belize,Latin America & Caribbean ,Upper middle income,Blend,0.05996247278601037,,4,0,1,,,57.40225712711238,2025.0,2025.0,2025.0,0.0
BMU,Bermuda,North America,High income,Not classified,-2.8504503070987592,,4,0,1,,,72.13820877109093,2025.0,2025.0,2025.0,0.0
BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD,0.0921405592815166,,4,0,1,,,54.36539609065616,2025.0,2025.0,2025.0,0.0
BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD,0.5811151766397182,-0.18721646006746784,4,15,2,0.1969493582861252,61.15808532144935,70.1897773221383,2024.0,2024.0,2025.0,1.0
BRB,Barbados,Latin America & Caribbean ,High income,IBRD,-1.3503044723479432,,4,0,1,,,73.45460725784156,2025.0,2025.0,2025.0,0.0
BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified,0.3371329194385908,0.9130353277709163,4,13,2,0.6250841236047535,83.5371731436142,69.30457271034281,2022.0,2022.0,2025.0,3.0
BTN,Bhutan,South Asia,Lower middle income,IDA,0.7104583537678097,-1.2399529184477358,4,4,2,-0.26474728233996303,37.02468036406374,49.393612759834376,2023.0,2021.0,2025.0,2.0
BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD,-0.0014583020319049109,,4,0,1,,,54.88589483161121,2025.0,2025.0,2025.0,0.0
CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA,-1.487350323975696,,4,0,1,,,7.80978639785696,2025.0,2025.0,2025.0,0.0
CAN,Canada,North America,High income,Not classified,-0.5804625877435661,0.44252560641511635,4,15,2,-0.06896849066422486,47.25825896487639,86.15403166123929,2022.0,2022.0,2025.0,3.0
CHE,Switzerland,Europe & Central Asia,High income,Not classified,-1.1410320519842876,0.5341096629385524,4,15,2,-0.30346119452286757,35.00106044140688,92.96430223707382,2023.0,2023.0,2025.0,2.0
CHL,Chile,Latin America & Caribbean ,High income,IBRD,0.4586772792962355,-0.0001570282884295834,4,13,2,0.22926012550390296,62.84700562351835,86.18591069243594,2023.0,2023.0,2025.0,2.0
CHN,China,East Asia & Pacific,Upper middle income,IBRD,0.7789785715328079,0.2473145352647491,4,4,2,0.5131465533987785,77.6860698995809,79.89639923132584,2023.5,2022.0,2025.0,1.5
CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,Blend,0.42941843101825866,-1.6199938211469043,4,5,2,-0.5952876950643228,19.746959598669022,36.85579324167936,2023.0,2023.0,2025.0,2.0
CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend,0.035700761555917906,,4,0,1,,,25.134152079305174,2025.0,2025.0,2025.0,0.0
COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA,-0.22518702808520574,,4,0,1,,,17.417151170972193,2025.0,2022.9,2025.0,0.0
COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,Blend,0.10213951575248635,,4,0,1,,,30.31637954071027,2025.0,2025.0,2025.0,0.0
COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD,0.48247005620289685,-0.7088344192202418,4,5,2,-0.11318218150867249,44.94715939880037,70.17904918784215,2023.0,2023.0,2025.0,2.0
COM,Comoros,Sub-Saharan Africa ,Lower middle income,IDA,0.04786774276348123,,4,0,1,,,32.24543790512067,2025.0,2025.0,2025.0,0.0
CPV,Cabo Verde,Sub-Saharan Africa ,Upper middle income,Blend,0.5817422887102451,,4,0,1,,,59.615584475551024,2025.0,2025.0,2025.0,0.0
CRI,Costa Rica,Latin America & Caribbean ,High income,IBRD,0.06907297955660227,-0.9200518854942068,4,2,2,-0.42548945296880225,28.622505524206886,88.12499750158183,2025.0,2023.0,2025.0,0.0
CUB,Cuba,Latin America & Caribbean ,Upper middle income,Not classified,-1.3812130401339702,,4,0,1,,,51.60856576432309,2025.0,2025.0,2025.0,0.0
CUW,Curacao,Latin America & Caribbean ,High income,Not classified,-1.4419934325934238,,4,0,1,,,65.51832911321495,2025.0,2025.0,2025.0,0.0
CYM,Cayman Islands,Latin America & Caribbean ,High income,Not classified,-3.307385764192115,,4,0,1,,,80.83231505535247,2025.0,2025.0,2025.0,0.0
CYP,Cyprus,Europe & Central Asia,High income,Not classified,0.10547393003506184,0.3577833705591801,4,4,2,0.23162865029712096,62.97081109004464,95.0361297886896,2024.0,2023.0,2025.0,1.0
CZE,Czechia,Europe & Central Asia,High income,Not classified,0.11542987805980649,0.048190688279785586,4,12,2,0.08181028316979604,55.13963579919784,86.5333270960916,2023.0,2023.0,2025.0,2.0
DEU,Germany,Europe & Central Asia,High income,Not classified,0.2041148302117827,0.2773687458572942,4,5,2,0.24074178803453844,63.447165094161484,91.12927615238938,2024.0,2023.0,2025.0,1.0
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IDA,-0.1836748591614292,,4,0,1,,,32.5551268382423,2025.0,2025.0,2025.0,0.0
DMA,Dominica,Latin America & Caribbean ,Upper middle income,Blend,-1.09608909204299,,4,0,1,,,73.94503378921554,2025.0,2025.0,2025.0,0.0
DNK,Denmark,Europe & Central Asia,High income,Not classified,-0.007916383410586716,0.9177175973379536,4,5,2,0.4549006069636834,74.64148848235818,100.0,2024.0,2023.0,2025.0,1.0
DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,IBRD,0.2555186312334821,-0.7031911479084856,4,15,2,-0.22383625833750173,39.16314580347836,52.86708158878445,2022.0,2022.0,2025.0,3.0
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,IBRD,0.6153400881270604,,4,0,1,,,57.64954509330604,2025.0,2025.0,2025.0,0.0
ECU,Ecuador,Latin America & Caribbean ,Upper middle income,IBRD,0.19246783318923197,-1.1292060369457912,4,4,2,-0.4683691018782796,26.381137837061402,60.27473249463447,2024.5,2024.0,2025.0,0.5
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,0.7789188471272273,-0.17546817012977747,4,5,2,0.3017253384987249,66.63484416649695,46.051832310623944,2022.0,2022.0,2025.0,3.0
ERI,Eritrea,Sub-Saharan Africa ,Low income,IDA,1.202031814365487,,1,0,1,,,8.590393736836122,2022.0,2022.0,2022.0,3.0
ESP,Spain,Europe & Central Asia,High income,Not classified,0.32194109244081276,0.5109972106241855,4,15,2,0.4164691515324991,72.63263289318871,92.55471551972757,2023.0,2023.0,2025.0,2.0
EST,Estonia,Europe & Central Asia,High income,Not classified,0.5271112536501628,0.05382910580564657,4,12,2,0.2904701797279047,66.0465243032475,94.10428087807288,2023.0,2023.0,2025.0,2.0
ETH,Ethiopia,Sub-Saharan Africa ,Not classified,IDA,0.7215490450457613,,4,0,1,,,18.379617624068004,2025.0,2025.0,2025.0,0.0
FIN,Finland,Europe & Central Asia,High income,Not classified,0.10187096327189182,0.3476445340944357,4,12,2,0.22475774868316375,62.6116613010249,100.0,2023.0,2023.0,2025.0,2.0
FJI,Fiji,East Asia & Pacific,Upper middle income,Blend,-0.13356533052688668,,4,0,1,,,59.04527815314082,2025.0,2025.0,2025.0,0.0
FRA,France,Europe & Central Asia,High income,Not classified,0.1909351341293397,0.16097753437769363,4,14,2,0.17595633425351667,60.060756240665825,88.10211433488027,2023.0,2023.0,2025.0,2.0
FRO,Faroe Islands,Europe & Central Asia,High income,Not classified,-0.5734880359207062,,4,0,1,,,72.49774011149086,2025.0,2025.0,2025.0,0.0
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,IDA,-0.686115875371293,,4,0,1,,,13.45249850041242,2025.0,2025.0,2025.0,0.0
GAB,Gabon,Sub-Saharan Africa ,Upper middle income,IBRD,-0.06305024311636924,,4,0,1,,,49.04283862019295,2025.0,2025.0,2025.0,0.0
GBR,United Kingdom,Europe & Central Asia,High income,Not classified,0.04029772509854063,,4,0,1,,,91.39121279403516,2025.0,2025.0,2025.0,0.0
GEO,Georgia,Europe & Central Asia,Upper middle income,IBRD,0.6488893106681123,-0.41408431358401837,4,12,2,0.11740249854204696,57.00008110316238,82.35604802737271,2023.0,2023.0,2025.0,2.0
GHA,Ghana,Sub-Saharan Africa ,Lower middle income,IDA,0.6638569813481143,,4,0,1,,,42.9980897667292,2025.0,2025.0,2025.0,0.0
GIB,Gibraltar,Europe & Central Asia,High income,Not classified,-1.3724571209659522,,4,0,1,,,68.11671899752479,2025.0,2025.0,2025.0,0.0
GIN,Guinea,Sub-Saharan Africa ,Lower middle income,IDA,0.3952626957728064,,4,0,1,,,28.54238749413708,2025.0,2025.0,2025.0,0.0
GMB,"Gambia, The",Sub-Saharan Africa ,Low income,IDA,0.33278719049926986,,4,0,1,,,38.202969983217216,2025.0,2022.9,2025.0,0.0
GNB,Guinea-Bissau,Sub-Saharan Africa ,Low income,IDA,-0.0322392845292894,,4,0,1,,,31.98023749564317,2025.0,2025.0,2025.0,0.0
GNQ,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income,IBRD,-1.3397561151854627,,1,0,1,,,30.28106065960086,2022.0,2022.0,2022.0,3.0
GRC,Greece,Europe & Central Asia,High income,Not classified,0.19755455032401115,0.12025149714054484,4,13,2,0.158903023732278,59.169360435586974,99.9935824806949,2023.0,2023.0,2025.0,2.0
GRD,Grenada,Latin America & Caribbean ,Upper middle income,Blend,-1.2276777112156747,,4,0,1,,,66.64473867830138,2025.0,2025.0,2025.0,0.0
GRL,Greenland,Europe & Central Asia,High income,Not classified,-1.3929066446474665,,4,0,1,,,75.10031629426715,2025.0,2025.0,2025.0,0.0
GTM,Guatemala,Latin America & Caribbean ,Upper middle income,IBRD,0.03444142237610473,,4,0,1,,,32.53964637461028,2025.0,2025.0,2025.0,0.0
GUM,Guam,East Asia & Pacific,High income,Not classified,-0.9163241707827563,,4,0,1,,,,2025.0,2025.0,2025.0,0.0
GUY,Guyana,Latin America & Caribbean ,High income,IDA,-0.07277497976714961,,4,0,1,,,56.93222207105374,2025.0,2025.0,2025.0,0.0
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,Not classified,0.5589180972633119,-0.2727619924939127,4,11,2,0.1430780523846996,58.342171306698695,100.0,2023.0,2023.0,2025.0,2.0
HND,Honduras,Latin America & Caribbean ,Lower middle income,IDA,-0.3104886370908616,,4,0,1,,,30.542070606104794,2025.0,2025.0,2025.0,0.0
HRV,Croatia,Europe & Central Asia,High income,IBRD,0.634372792757971,0.2795487983912547,4,13,2,0.45696079557461283,74.7491768683268,81.29997095565646,2024.0,2023.0,2025.0,1.0
HTI,Haiti,Latin America & Caribbean ,Lower middle income,IDA,0.18980567503201443,,4,0,1,,,20.907047357829615,2025.0,2025.0,2025.0,0.0
HUN,Hungary,Europe & Central Asia,High income,Not classified,0.39796472740519356,0.29814715035580314,4,4,2,0.34805593888049835,69.05659698543866,80.8806406298368,2024.5,2024.0,2025.0,0.5
IDN,Indonesia,East Asia & Pacific,Upper middle income,IBRD,0.7102607065379666,-0.7421564950421761,4,12,2,-0.015947894252104744,50.029705433623995,58.89923067439632,2024.0,2024.0,2025.0,1.0
IND,India,South Asia,Lower middle income,IBRD,0.7904452696806574,1.0896243004647304,4,3,2,0.9400347850726939,100.0,43.29747409765473,2025.0,2025.0,2025.0,0.0
IRL,Ireland,Europe & Central Asia,High income,Not classified,-0.21047425087778426,,4,0,1,,,92.2577515914796,2025.0,2025.0,2025.0,0.0
IRN,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,IBRD,0.9296336633612197,-1.3186638689565249,4,5,2,-0.1945151027976526,40.69579572595147,73.71083443575618,2021.0,2021.0,2025.0,4.0
IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,IBRD,0.2637900370490306,-1.5267140051725083,4,5,2,-0.6314619840617388,17.856088648782347,52.50624456706601,2022.0,2022.0,2025.0,3.0
ISL,Iceland,Europe & Central Asia,High income,Not classified,-0.47865409298632666,0.7729166610384176,4,3,2,0.14713128402604547,58.554038303292046,92.66753877561942,2025.0,2021.0,2025.0,0.0
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income,Not classified,0.1959767045757982,1.0796581860325072,4,3,2,0.6378174453041527,84.20275825293524,81.08100540488526,2025.0,2024.0,2025.0,0.0
ITA,Italy,Europe & Central Asia,High income,Not classified,0.13366970751881724,0.03369804180568747,4,14,2,0.08368387466225236,55.237570542995925,83.13754911578383,2023.0,2023.0,2025.0,2.0
JAM,Jamaica,Latin America & Caribbean ,Upper middle income,IBRD,-0.7179693292067748,-0.20403130994224006,4,12,2,-0.46100031957450743,26.766312412164652,55.31897836920587,2023.0,2023.0,2025.0,2.0
JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,0.1682062762921337,-0.7283082835738831,4,15,2,-0.2800510036408747,36.22473756394063,48.91196311604535,2023.0,2023.0,2025.0,2.0
JPN,Japan,East Asia & Pacific,High income,Not classified,-0.028860033364708396,0.38916754496885303,4,8,2,0.18015375580207232,60.280160206591994,88.54804718470677,2022.0,2022.0,2025.0,3.0
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,IBRD,0.41158196670348257,-0.9854422488525026,4,5,2,-0.28693014107451004,35.86515727932278,70.44573617177835,2023.0,2023.0,2025.0,2.0
KEN,Kenya,Sub-Saharan Africa ,Lower middle income,Blend,0.41913692242624434,,4,0,1,,,51.25093305776858,2025.0,2025.0,2025.0,0.0
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,IDA,0.7087765259431326,,4,0,1,,,59.11011603520661,2025.0,2025.0,2025.0,0.0
KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA,0.6610064953964521,,4,0,1,,,37.65810941310785,2025.0,2025.0,2025.0,0.0
KIR,Kiribati,East Asia & Pacific,Lower middle income,IDA,0.03248250453933779,,4,0,1,,,30.902902793494818,2025.0,2022.9,2025.0,0.0
KNA,St. Kitts and Nevis,Latin America & Caribbean ,High income,IBRD,-1.072395445469322,,4,0,1,,,88.35257835968171,2025.0,2025.0,2025.0,0.0
KOR,"Korea, Rep.",East Asia & Pacific,High income,Not classified,0.2021441168703245,0.690550771204996,4,15,2,0.44634744403766025,74.19440499420395,94.97181797380054,2024.0,2024.0,2025.0,1.0
KWT,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",High income,Not classified,0.11508553875748148,0.4487947575461,4,5,2,0.28194014815179075,65.60064991688314,71.72293318812572,2023.0,2023.0,2025.0,2.0
LAO,Lao PDR,East Asia & Pacific,Lower middle income,IDA,0.7079039075515232,,4,0,1,,,32.29595242689969,2025.0,2025.0,2025.0,0.0
LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,0.45181106945544103,,4,0,1,,,48.47467893717014,2025.0,2025.0,2025.0,0.0
LBR,Liberia,Sub-Saharan Africa ,Low income,IDA,-0.6715186149902699,,4,0,1,,,12.869195567374604,2025.0,2025.0,2025.0,0.0
LBY,Libya,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,IBRD,0.8040023661246724,,4,0,1,,,73.08397691528225,2025.0,2025.0,2025.0,0.0
LCA,St. Lucia,Latin America & Caribbean ,Upper middle income,Blend,-1.3412475975106148,,4,0,1,,,49.683290584777865,2025.0,2025.0,2025.0,0.0
LIE,Liechtenstein,Europe & Central Asia,High income,Not classified,-0.3499264024827755,,4,0,1,,,100.0,2025.0,2025.0,2025.0,0.0
LKA,Sri Lanka,South Asia,Lower middle income,IDA,0.856222151336587,,4,0,1,,,52.68863774525247,2025.0,2025.0,2025.0,0.0
LSO,Lesotho,Sub-Saharan Africa ,Lower middle income,IDA,0.2515362906448553,,4,0,1,,,32.39911411198751,2025.0,2025.0,2025.0,0.0
LTU,Lithuania,Europe & Central Asia,High income,Not classified,0.5943842173006528,0.10641256043779102,4,13,2,0.3503983888692219,69.17903949247885,86.38329142875702,2023.0,2023.0,2025.0,2.0
LUX,Luxembourg,Europe & Central Asia,High income,Not classified,0.01528973898773242,0.4792530459594164,4,4,2,0.24727139247357444,63.7884748943045,82.45209789152986,2024.5,2023.7,2025.0,0.5
LVA,Latvia,Europe & Central Asia,High income,Not classified,0.35563695549972524,0.10246611754672391,4,12,2,0.22905153652322457,62.83610244186744,83.65208592524024,2023.0,2023.0,2025.0,2.0
MAC,"Macao SAR, China",East Asia & Pacific,High income,Not classified,0.2873092054270763,-0.08883967183220479,4,5,2,0.09923476679743574,56.050433241840956,91.07365220602564,2021.0,2021.0,2025.0,4.0
MAR,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,0.6602133329308433,-0.49256866062888244,4,5,2,0.08382233615098042,55.24480808142365,61.60804045067765,2021.0,2021.0,2025.0,4.0
MCO,Monaco,Europe & Central Asia,High income,Not classified,-1.2342361198289573,,4,0,1,,,96.60791532628308,2025.0,2025.0,2025.0,0.0
MDA,Moldova,Europe & Central Asia,Upper middle income,IBRD,0.7164710544739776,,4,0,1,,,76.75822612016393,2025.0,2025.0,2025.0,0.0
MDG,Madagascar,Sub-Saharan Africa ,Low income,IDA,0.1899900630398634,,4,0,1,,,16.526328437802267,2025.0,2025.0,2025.0,0.0
MDV,Maldives,South Asia,Upper middle income,IDA,0.06753971823671823,,4,0,1,,,63.11088088711254,2025.0,2025.0,2025.0,0.0
MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD,0.35501687285950384,-0.4117975479045381,4,12,2,-0.02839033752251713,49.37932486837456,61.82234947779168,2023.0,2023.0,2025.0,2.0
MHL,Marshall Islands,East Asia & Pacific,Upper middle income,IDA,-0.5808394302381963,,4,0,1,,,38.04334956624844,2025.0,2025.0,2025.0,0.0
MKD,North Macedonia,Europe & Central Asia,Upper middle income,IBRD,0.3820778294394596,,4,0,1,,,68.82827697213375,2025.0,2025.0,2025.0,0.0
MLI,Mali,Sub-Saharan Africa ,Low income,IDA,0.04804904839268716,,4,0,1,,,33.82540415067013,2025.0,2025.0,2025.0,0.0
MLT,Malta,"Middle East, North Africa, Afghanistan & Pakistan",High income,Not classified,0.2546424922628966,0.23427073879335597,4,14,2,0.24445661552812628,63.641343323676026,86.89398718321324,2023.0,2023.0,2025.0,2.0
MMR,Myanmar,East Asia & Pacific,Lower middle income,IDA,0.5979030191803701,,4,0,1,,,40.18001769322221,2025.0,2025.0,2025.0,0.0
MNE,Montenegro,Europe & Central Asia,Upper middle income,IBRD,0.28193084869149454,0.17455297553226637,4,4,2,0.22824191211188044,62.79378245930084,83.78788804937885,2024.5,2024.0,2025.0,0.5
MNG,Mongolia,East Asia & Pacific,Upper middle income,IBRD,0.6681507658869699,-0.8190198878244207,4,5,2,-0.07543456096872542,46.92027016571635,70.63921071983768,2021.0,2021.0,2025.0,4.0
MNP,Northern Mariana Islands,East Asia & Pacific,High income,Not classified,-1.5419258851685635,,4,0,1,,,,2025.0,2025.0,2025.0,0.0
MOZ,Mozambique,Sub-Saharan Africa ,Low income,IDA,0.4052314114447473,,4,0,1,,,18.124630115896963,2025.0,2025.0,2025.0,0.0
MRT,Mauritania,Sub-Saharan Africa ,Lower middle income,IDA,0.40836582618181905,,4,0,1,,,34.50844403525647,2025.0,2025.0,2025.0,0.0
MUS,Mauritius,Sub-Saharan Africa ,Upper middle income,IBRD,0.5890732329817321,,4,0,1,,,70.62243631959737,2025.0,2025.0,2025.0,0.0
MWI,Malawi,Sub-Saharan Africa ,Low income,IDA,0.44223567628041277,-1.9246984712994997,4,15,2,-0.7412313975095435,12.11831740773929,12.123260368867852,2023.0,2023.0,2025.0,2.0
MYS,Malaysia,East Asia & Pacific,Upper middle income,IBRD,0.5697787905629669,0.5382614239549676,4,15,2,0.5540201072589672,79.8225767323311,66.49213025996654,2024.0,2024.0,2025.0,1.0
NAM,Namibia,Sub-Saharan Africa ,Lower middle income,IBRD,0.4410045486707558,,4,0,1,,,44.739594879609264,2025.0,2025.0,2025.0,0.0
NCL,New Caledonia,East Asia & Pacific,High income,Not classified,0.2350346335864748,,4,0,1,,,58.926792100232774,2025.0,2022.9,2025.0,0.0
NER,Niger,Sub-Saharan Africa ,Low income,IDA,-0.06969400539527587,-1.8764403226771382,4,3,2,-0.9730671640362071,0.0,14.384487918097092,2025.0,2022.0,2025.0,0.0
NGA,Nigeria,Sub-Saharan Africa ,Lower middle income,Blend,0.7166164742219328,,4,0,1,,,34.79406228052166,2025.0,2025.0,2025.0,0.0
NIC,Nicaragua,Latin America & Caribbean ,Lower middle income,IDA,0.3544723063208318,,4,0,1,,,43.26973031153649,2025.0,2025.0,2025.0,0.0
NLD,Netherlands,Europe & Central Asia,High income,Not classified,-0.26501331134313927,1.5711816882788614,4,3,2,0.6530841884678611,85.00076816405469,100.0,2025.0,2022.0,2025.0,0.0
NOR,Norway,Europe & Central Asia,High income,Not classified,-1.083214343734213,0.9568349478469387,4,5,2,-0.06318969794363716,47.56032298834777,96.751691694359,2023.0,2023.0,2025.0,2.0
NPL,Nepal,South Asia,Lower middle income,IDA,0.7140329618312906,,4,0,1,,,46.93553667770993,2025.0,2025.0,2025.0,0.0
NRU,Nauru,East Asia & Pacific,High income,IBRD,-1.431584066601952,,4,0,1,,,48.699816792923954,2025.0,2022.9,2025.0,0.0
NZL,New Zealand,East Asia & Pacific,High income,Not classified,-0.09571197288384353,,4,0,1,,,87.44752035379064,2025.0,2025.0,2025.0,0.0
OMN,Oman,"Middle East, North Africa, Afghanistan & Pakistan",High income,Not classified,-0.1386224950633681,1.0005054802283864,4,13,2,0.43094149258250913,73.38911850843526,64.82594340769928,2024.0,2023.0,2025.0,1.0
PAK,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Blend,0.7826346477560764,,4,0,1,,,21.50092897326405,2025.0,2025.0,2025.0,0.0
PAN,Panama,Latin America & Caribbean ,High income,IBRD,-0.2820903505326692,,4,0,1,,,71.33303047600162,2025.0,2025.0,2025.0,0.0
PER,Peru,Latin America & Caribbean ,Upper middle income,IBRD,0.4538795397986503,-0.5632711295263991,4,4,2,-0.05469579486387441,48.00430889739559,65.12788420634826,2024.5,2023.7,2025.0,0.5
PHL,Philippines,East Asia & Pacific,Lower middle income,IBRD,0.5084464745595936,,4,0,1,,,57.35961756826187,2025.0,2025.0,2025.0,0.0
PLW,Palau,East Asia & Pacific,High income,IBRD,-0.7398453710904813,,4,0,1,,,62.3879420274163,2025.0,2025.0,2025.0,0.0
PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,Blend,-0.47201880959436027,,4,0,1,,,22.506152928155515,2025.0,2025.0,2025.0,0.0
POL,Poland,Europe & Central Asia,High income,IBRD,0.5033062978732273,-0.117462952742433,4,12,2,0.19292167256539716,60.947553638984445,83.7050205082577,2024.0,2023.0,2025.0,1.0
PRI,Puerto Rico (US),Latin America & Caribbean ,High income,Not classified,0.04188506356920057,,4,0,1,,,76.95916948038658,2025.0,2025.0,2025.0,0.0
PRK,"Korea, Dem. People's Rep.",East Asia & Pacific,Low income,Not classified,1.202031814365487,,1,0,1,,,0.0,2022.0,2022.0,2022.0,3.0
PRT,Portugal,Europe & Central Asia,High income,Not classified,0.4742939432527803,-0.03800019239046103,4,13,2,0.21814687543115963,62.266103488223365,90.07818639394868,2023.0,2023.0,2025.0,2.0
